filename,width,height,class,xmin,ymin,xmax,ymax
1.jpeg,347,145,gun,79,46,141,87
100.jpeg,300,168,gun,10,27,225,96
103.jpeg,259,194,gun,1,75,149,118
104.jpeg,299,168,gun,40,65,82,94
106.jpeg,299,168,gun,40,36,108,54
112.jpeg,300,168,gun,160,8,206,49
113.jpeg,300,168,gun,58,56,104,83
115.jpeg,259,194,gun,2,65,143,136
116.jpeg,263,191,gun,139,77,199,185
117.jpeg,259,194,gun,42,62,246,136
120.jpeg,262,193,gun,17,52,78,100
124.jpeg,275,183,gun,54,81,216,165
126.jpeg,275,184,gun,75,10,120,85
131.jpeg,318,159,gun,115,38,233,80
132.jpeg,246,205,gun,52,68,118,151
133.jpeg,275,183,gun,128,63,274,147
135.jpeg,299,168,gun,80,16,194,136
136.jpeg,300,168,gun,72,75,226,162
138.jpeg,275,183,gun,27,49,77,87
14.jpeg,299,168,gun,130,57,176,109
142.jpeg,259,194,gun,186,52,215,65
145.jpeg,274,184,gun,186,68,257,92
146.jpeg,225,225,gun,118,101,167,144
148.jpeg,276,183,gun,75,26,178,153
150.jpeg,353,143,gun,159,50,343,97
163.jpeg,287,176,gun,175,20,262,79
166.jpeg,225,225,gun,10,100,167,129
169.jpeg,295,171,gun,138,81,256,147
17.jpeg,272,185,gun,130,18,257,80
171.jpeg,251,201,gun,120,62,250,100
172.jpeg,264,191,gun,149,24,239,95
176.jpeg,276,183,gun,137,64,222,122
177.jpeg,327,154,gun,35,41,197,107
178.jpeg,275,183,gun,112,42,249,81
181.jpeg,253,199,gun,119,60,226,102
182.jpeg,300,168,gun,98,32,162,109
189.jpeg,225,225,gun,117,101,167,143
197.jpeg,249,202,gun,77,58,158,108
21.jpeg,200,149,gun,8,64,150,122
210.jpeg,262,193,gun,157,29,252,93
212.jpeg,347,145,gun,152,66,183,111
214.jpeg,284,177,gun,191,41,226,61
217.jpeg,282,179,gun,99,37,147,75
222.jpeg,271,186,gun,8,15,144,116
226.jpeg,259,194,gun,58,96,134,174
23.jpeg,302,167,gun,38,22,88,76
237.jpeg,345,146,gun,235,5,312,55
240.jpeg,259,195,gun,68,154,145,180
248.jpeg,300,168,gun,130,50,222,80
25.jpeg,294,171,gun,132,94,212,153
257.jpeg,326,155,gun,113,38,219,70
258.jpeg,299,168,gun,162,66,190,104
26.jpeg,259,194,gun,133,2,236,144
260.jpeg,275,183,gun,26,43,67,75
261.jpeg,276,183,gun,100,70,136,90
262.jpeg,310,163,gun,139,69,173,87
265.jpeg,259,194,gun,156,39,212,78
267.jpeg,300,168,gun,209,50,271,81
280.jpeg,262,192,gun,110,17,241,90
288.jpeg,348,145,gun,241,13,301,50
289.jpeg,300,168,gun,39,64,110,100
29.jpeg,259,194,gun,48,62,85,112
292.jpeg,275,183,gun,32,18,153,93
294.jpeg,341,148,gun,170,32,213,95
3.jpeg,346,146,gun,192,35,280,84
30.jpeg,300,168,gun,59,52,189,106
308.jpeg,300,168,gun,102,52,210,91
309.jpeg,300,168,gun,112,28,254,106
32.jpeg,194,260,gun,39,129,171,179
34.jpeg,251,201,gun,172,65,248,110
35.jpeg,300,168,gun,148,46,248,105
42.jpeg,312,161,gun,36,31,79,62
43.jpeg,348,145,gun,220,51,286,81
45.jpeg,331,152,gun,51,53,121,75
51.jpeg,300,168,gun,66,27,244,68
53.jpeg,264,191,gun,113,30,218,144
58.jpeg,275,183,gun,98,63,190,88
62.jpeg,300,168,gun,48,15,252,61
72.jpeg,225,225,gun,73,54,94,83
74.jpeg,300,168,gun,122,114,204,128
75.jpeg,250,201,gun,27,55,68,136
77.jpeg,259,194,gun,57,103,90,127
79.jpeg,299,168,gun,66,56,122,94
8.jpeg,275,183,gun,113,58,258,124
80.jpeg,259,194,gun,149,87,206,124
82.jpeg,300,168,gun,67,63,275,120
83.jpeg,240,173,gun,10,12,222,97
84.jpeg,353,143,gun,1,33,69,51
87.jpeg,401,126,gun,130,11,308,51
88.jpeg,300,168,gun,39,78,104,145
9.jpeg,300,168,gun,37,24,98,103
96.jpeg,275,183,gun,79,68,256,130
armas (103).jpg,450,300,gun,111,79,193,130
armas (104).jpg,450,300,gun,94,109,168,153
armas (105).jpg,996,1620,gun,146,545,667,910
armas (109).jpg,685,1024,gun,61,211,181,440
armas (1111).jpg,3416,2592,gun,243,886,1199,1479
armas (1117).jpg,600,400,gun,374,75,546,140
